"Tanggal Transaksi","Tanggal Posting","Tanggal Valuta","Kode Cabang","Kode Transaksi","Nomor Rekening","Nomor Referensi","Currency","Nilai Transaksi","Debet Credit","Deskripsi Transaksi","Nomor Referensi User","Openning Balance","Closing Balance"
"20210719 105128","20210719","20210719","9211","2327:FTD","003546499892    ","20210719105129493224                    ","360","11639100","C","ALTO TRF 12431 BCA 725953 ACMB9503 M-BCA\\ \          021","ACMB9503725953                          ","669374695.25","948129828.25"
"20210719 105241","20210719","20210721","361","6501:CHD","003546499892    ","697112021071900660061                   ","360","5456412","C","Set.Cek/Cheque Dep","","669374695.25","948129828.25"
"20210719 105241","20210719","20210719","361","5003:SCD","003546499892    ","697112021071900660061                   ","360","2000","D","CHEQUE DEPOSIT FEE","","669374695.25","948129828.25"
"20210719 105331","20210719","20210719","361","5003:SCD","003546499892    ","697112021071900660062                   ","360","2000","D","CHEQUE DEPOSIT FEE","","669374695.25","948129828.25"
"20210719 105331","20210719","20210721","361","6501:CHD","003546499892    ","697112021071900660062                   ","360","12511500","C","Set.Cek/Cheque Dep","","669374695.25","948129828.25"
"20210719 105439","20210719","20210721","361","6501:CHD","003546499892    ","697112021071900660063                   ","360","6490100","C","Set.Cek/Cheque Dep","","669374695.25","948129828.25"
"20210719 105439","20210719","20210719","361","5003:SCD","003546499892    ","697112021071900660063                   ","360","2000","D","CHEQUE DEPOSIT FEE","","669374695.25","948129828.25"
"20210719 110540","20210719","20210719","9429","1408:MSC","003546499892    ","18230202107190101566501                 ","360","405283443","C","PEMBAYARAN 94012371590000205491_RTGS_435_BERKAT KENARI  _BMRI_PT. BANK MANDIR","RTGSC_00000000043520210719              ","669374695.25","948129828.25"
"20210719 114420","20210719","20210719","9211","2327:FTD","003546499892    ","20210719114420505466                    ","360","293000","C","BERS TRF 0724201007550502 BRI 011003 26216710 00011230 KARANG ASEM R\\00011230 KARA\          021","26216710011003                          ","669374695.25","948129828.25"
"20210719 122721","20210719","20210719","316","1401:CSD","003546499892    ","787082021071900530033                   ","360","15308986","C","BR : ALFONSO/BG/BEJI","","669374695.25","948129828.25"
"20210719 123903","20210719","20210719","353","1401:CSD","003546499892    ","622192021071900290081                   ","360","579519","C","BR : BB/ADAM/BEJI","1                                       ","669374695.25","948129828.25"
"20210719 124158","20210719","20210719","7101","2640:CAW","003546499892    ","182092021071912390500029141248          ","360","2300000000","D","PB DNM SBY-DNM KNV","2107199881168000                        ","669374695.25","948129828.25"
"20210719 124307","20210719","20210719","316","1401:CSD","003546499892    ","897592021071900540024                   ","360","2440240","C","SUUDI/B E/BEJI","","669374695.25","948129828.25"
"20210719 124834","20210719","20210719","353","1401:CSD","003546499892    ","622192021071900290085                   ","360","2890000","C","BR : DWI/MP3/BEJI","1                                       ","669374695.25","948129828.25"
"20210719 125705","20210719","20210719","316","1401:CSD","003546499892    ","897592021071900540025                   ","360","5261800","C","BR: DENDY_BP2_BEJI","","669374695.25","948129828.25"
"20210719 130609","20210719","20210719","7101","2653:CAW","003546499892    ","182092021071913033400029143506          ","360","10321200","C","7173050800020029  : PALAPA WADUNG ASRI T","210717005228771                         ","669374695.25","948129828.25"
"20210719 130618","20210719","20210719","7101","2653:CAW","003546499892    ","182092021071913034200029143522          ","360","33819800","C","7173050800020040  : PALAPA ADITYA GODREJ","210717005243065                         ","669374695.25","948129828.25"
"20210719 132426","20210719","20210719","7101","2653:CAW","003546499892    ","182092021071913215000029145227          ","360","2220749","C","BAYAR BELANJA 12 JULI 2021","210719005260003                         ","669374695.25","948129828.25"
"20210719 133125","20210719","20210719","7101","2653:CAW","003546499892    ","182092021071913283200029145602          ","360","3974003","C","PCMFT 003591051986","2107199883889000                        ","669374695.25","948129828.25"
"20210719 133219","20210719","20210719","9233","1408:MSC","003546499892    ","18230202107190101569720                 ","360","16110233","C","7173050800020035 TRANSFER DANA_SKN_TOENG MAKMUR PT_BCA","SKN0_20210719000739593287               ","669374695.25","948129828.25"
"20210719 133515","20210719","20210719","9233","1408:MSC","003546499892    ","18230202107190101570570                 ","360","292806760","C","FK/ISU/21006648_SKN_TBMO TRI SAMALA_BCA","SKN0_20210719000739588481               ","669374695.25","948129828.25"
"20210719 133516","20210719","20210719","9233","1408:MSC","003546499892    ","18230202107190101570575                 ","360","88132840","C","FK/ISU/21006543_SKN_TBMO TRI SAMALA_BCA","SKN0_20210719000739588332               ","669374695.25","948129828.25"
"20210719 134225","20210719","20210719","325","1401:CSD","003546499892    ","1092612021071900550045                  ","360","2569761","C","BR: EKO PUJIANTO MG BEJI ","1                                       ","669374695.25","948129828.25"
"20210719 144913","20210719","20210719","9233","1408:MSC","003546499892    ","18230202107190101571042                 ","360","9416957","C","FK-ISU-21006827_SKN_SAMUDRA MART_MANDIRI","SKN0_20210719000739622237               ","669374695.25","948129828.25"
"20210719 145248","20210719","20210719","9233","1408:MSC","003546499892    ","18230202107190101572169                 ","360","29375680","C","FK/ISU/21006554_SKN_TBMO BEBINDO PE_BCA","SKN0_20210719000739621595               ","669374695.25","948129828.25"
"20210719 145249","20210719","20210719","9233","1408:MSC","003546499892    ","18230202107190101572174                 ","360","2274070","C","FK/IMO/2100422329062021_SKN_HOMPILA CV_BCA","SKN0_20210719000739618212               ","669374695.25","948129828.25"
"20210719 145254","20210719","20210719","9233","1408:MSC","003546499892    ","18230202107190101572196                 ","360","95500050","C","FK/ISU/21006556_SKN_TOKO BUKU MURAH_BCA","SKN0_20210719000739613606               ","669374695.25","948129828.25"
"20210719 145309","20210719","20210719","9233","1408:MSC","003546499892    ","18230202107190101572279                 ","360","88132840","C","FK/ISU/21006555_SKN_TBMO BERKATINDO_BCA","SKN0_20210719000739595759               ","669374695.25","948129828.25"
"20210719 152428","20210719","20210719","7301","2627:TFS","003546499892    ","182092021071915215300029150402          ","360","3767000","C","7173043099010059_CCM","G4S001CDM2107191500012                  ","669374695.25","948129828.25"
"20210719 152436","20210719","20210719","7301","2627:TFS","003546499892    ","182092021071915220100029150410          ","360","2319000","C","7173043099010068_CCM","G4S001CDM2107191500014                  ","669374695.25","948129828.25"
"20210719 152452","20210719","20210719","7301","2627:TFS","003546499892    ","182092021071915221700029150424          ","360","1635000","C","7173043099010009_CCM","G4S001CDM2107191500020                  ","669374695.25","948129828.25"
"20210719 152456","20210719","20210719","7301","2627:TFS","003546499892    ","182092021071915222100029150428          ","360","917000","C","7173043099010070_CCM","G4S001CDM2107191500022                  ","669374695.25","948129828.25"
"20210719 152651","20210719","20210719","7301","2627:TFS","003546499892    ","182092021071915241600029150517          ","360","3871000","C","7173043099010069_CCM","G4S001CDM2107191500030                  ","669374695.25","948129828.25"
"20210719 152657","20210719","20210719","7301","2627:TFS","003546499892    ","182092021071915242200029150521          ","360","6700000","C","7173043099010047_CCM","G4S001CDM2107191500033                  ","669374695.25","948129828.25"
"20210719 153000","20210719","20210719","7301","2627:TFS","003546499892    ","182092021071915272500029150632          ","360","12404000","C","7173043099020060_CCM","G4S001CDM2107191500036                  ","669374695.25","948129828.25"
"20210719 153015","20210719","20210719","7301","2627:TFS","003546499892    ","182092021071915274000029150645          ","360","577000","C","7173043099010010_CCM","G4S001CDM2107191500040                  ","669374695.25","948129828.25"
"20210719 153118","20210719","20210719","9233","1408:MSC","003546499892    ","18230202107190101572034                 ","360","2954100","C","TGHN GDI_SKN_BERKAH DUNIA AK_BCA","SKN0_20210719000739655637               ","669374695.25","948129828.25"
"20210719 153118","20210719","20210719","9233","1408:MSC","003546499892    ","18230202107190101572031                 ","360","12274200","C","TGHN GDI_SKN_BERKAH DUNIA AK_BCA","SKN0_20210719000739655638               ","669374695.25","948129828.25"
"20210719 153249","20210719","20210719","7301","2627:TFS","003546499892    ","182092021071915301400029150743          ","360","5100000","C","7173043099010001_CCM","G4S001CDM2107191500044                  ","669374695.25","948129828.25"
"20210719 154159","20210719","20210719","7301","2627:TFS","003546499892    ","182092021071915392400029151047          ","360","2261000","C","7173043099010013_CCM","G4S001CDM2107191500056                  ","669374695.25","948129828.25"
"20210719 155400","20210719","20210719","7301","2627:TFS","003546499892    ","182092021071915512500029151450          ","360","1549000","C","7173043099010051_CCM","G4S001CDM2107191500067                  ","669374695.25","948129828.25"
"20210719 155414","20210719","20210719","7301","2627:TFS","003546499892    ","182092021071915513900029151463          ","360","1568000","C","7173043099010067_CCM","G4S001CDM2107191500073                  ","669374695.25","948129828.25"
"20210719 161525","20210719","20210719","7301","2627:TFS","003546499892    ","182092021071916124900029152179          ","360","1624000","C","7173043099010012_CCM","G4S001CDM2107191600030                  ","669374695.25","948129828.25"
"20210719 172401","20210719","20210719","7101","2640:CAW","003546499892    ","182092021071917210800029154771          ","360","1101000000","D","AP MM SBY","2107199884493000                        ","669374695.25","948129828.25"
"20210719 175603","20210719","20210719","9233","1908:MSC","003546499892    ","1122982021071900180027                  ","360","607246868","C","TRANSFER DANA_SKN_MITRA SEJATI","1                                       ","669374695.25","948129828.25"
